x	y	z
1	1.7880181234	1
120	0.0196841945	1
600	0.0581709133	1
1500	0.0634828691	1
3000	3.6607271686	1
1	67.7828061968	2
120	4.2100613551	2
600	48.6303080775	2
1500	70.1939707276	2
3000	1631.2619988149	2
1	19.2588336102	3
120	5.9716051182	3
600	15.8905350261	3
1500	47.7877835625	3
3000	2157.5747174916	3
1	52.1515898113	4
120	2.8661934741	4
600	39.4298774208	4
1500	56.9138829442	4
3000	3398.6723468534	4
1	24.1713945702	5
120	27.316977036	5
600	154.1188598407	5
1500	97.8390740693	5
3000	839.6507335359	5
1	463.4833694949	6
120	692.7989337754	6
600	692.7989337754	6
1500	2955.2092352029	6
3000	932.4798774788	6
1	1909.1274170819	7
120	1468.8685160666	7
600	7462.1723438637	7
1500	7863.8581975998	7
3000	8287.166645623	7
1	43.0304701382	8
120	54.0067219699	8
600	19.598377281	8
1500	29.2949775065	8
3000	10.4466088079	8
