stream	transect	compartment	time.days	mgN.per.m2	d15N	prop15N
LOL	transect.1	CBOM	1	1161.8298666666667	NA	NA
LOL	transect.1	CBOM	1	NA	30.293	0.0037735783817983482
LOL	transect.1	CBOM	3	NA	37.489	0.0037998344922286773
LOL	transect.1	CBOM	7	NA	220.02	0.004465374523350193
LOL	transect.1	CBOM	10	NA	149.095	0.004206875201571529
LOL	transect.1	CBOM	11	NA	40.824	0.0038120024676273714
LOL	transect.1	CBOM	14	NA	12.302	0.003707928400924781
LOL	transect.1	CBOM	17	NA	52.134	0.0038532655622416276
LOL	transect.1	CBOM	20	NA	42.421	0.0038178291260086584
LOL	transect.1	CBOM	30	NA	18.554	0.0037307432154676658
LOL	transect.1	CBOM	40	504.4319290571911	NA	NA
LOL	transect.1	FBOM	1	NA	8.389	0.003693648539550642
LOL	transect.1	FBOM	4	NA	32.218	0.003780602282345867
LOL	transect.1	FBOM	7	NA	137.772	0.004165594000159122
LOL	transect.1	FBOM	10	NA	149.877	0.004209726077565331
LOL	transect.1	FBOM	11	NA	184.947	0.004337561243657245
LOL	transect.1	FBOM	17	NA	14.327	0.0037153181505658484
LOL	transect.1	FBOM	20	NA	137.429	0.0041643434431640645
LOL	transect.1	FBOM	30	NA	96.802	0.004016197667434462
LOL	transect.1	FBOM	40	NA	51.547	0.0038511240516022295
LOL	transect.1	NH4	1	0.2999646618625277	NA	NA
LOL	transect.1	NH4	10	NA	5534.35	0.023459946855516996
LOL	transect.1	NH4	10	NA	5154	0.02212460774521061
LOL	transect.1	NH4	11	NA	349.05	0.004935304290013893
LOL	transect.1	NH4	11	NA	306.475	0.004780294363085688
LOL	transect.1	NO3	1	31.49999361290323	NA	NA
LOL	transect.1	NO3	1	NA	134.271	0.00415282942097196
LOL	transect.1	NO3	3	NA	145.729	0.004194603853333418
LOL	transect.1	NO3	7	NA	197.061	0.004381710879849466
LOL	transect.1	NO3	11	NA	18.342	0.003729969601635492
LOL	transect.1	NO3	14	NA	13.439	0.003712077621996792
LOL	transect.1	NO3	17	NA	10.405	0.0037010056569964176
